videoID,qa_count,types,youtube_id,clip_index,youtube_url,timestamp,caption,clarity_score,aesthetic_score,motion_score,has_metadata
0-RdxBdJ7PY_40,6,"abs_dir,abs_spd_comp,non_temp,rel_dir,rel_dir_pred",0-RdxBdJ7PY,40,https://www.youtube.com/watch?v=0-RdxBdJ7PY,"['0:08:21.901', '0:08:50.930']","A group of individuals is engaged in a coordinated dance routine, performing various dance moves and gestures.The group consists of individuals dressed in a variety of casual and semi-formal attire. One individual is wearing a white shirt with a colorful tie, another is in a white shirt with suspenders, and a third is in a white shirt with a bow tie. The attire suggests a casual yet playful setting. The individuals appear to be of varying ages, with one wearing a green sweater and another in a striped shirt. Their movements suggest a lively and energetic atmosphere.The setting is a well-lit, indoor space with a neutral color palette. The flooring is tiled, and the walls are painted in a light color. There is a potted plant visible in the background, adding a touch of greenery to the scene. The space appears to be a hallway or a similar open area, suitable for group activities or performances.",0.8033033311367035,4.31815,9.053077697753906,True
0-X92bqGjZ4_14,6,"abs_dir_pred,abs_ori,non_temp,rel_dis,rel_ori,rel_spd",0-X92bqGjZ4,14,https://www.youtube.com/watch?v=0-X92bqGjZ4,"['0:02:45.879', '0:03:08.960']","a rowing competition on a calm lake, with multiple teams of rowers in colorful boats competing in a race. The rowers are seen in synchronized motion, using their oars to propel their boats forward. The scene is set in a lush, green environment with trees lining the shore, and the water is relatively still, reflecting the surrounding greenery. the intense and coordinated effort of the rowers as they navigate the course marked by buoys. The main subjects are the rowers and their boats. The rowers are dressed in matching uniforms, each in a different colored boat. The boats are long and narrow, designed for rowing. The rowers are positioned in pairs, each using an oar to propel the boat forward. The boats are aligned in a straight line, following the course marked by buoys in the water. The rowers are in constant motion, leaning forward and pulling their oars in unison. The background consists of a calm lake surrounded by dense green trees and foliage. The shore is lined with trees and bushes, and there is a fence visible in the distance. The water is relatively still, with only slight ripples, reflecting the greenery around it. The scene appears to be set in a park or natural area, with no other structures or people visible. The camera is stationary, providing a wide-angle view of the entire rowing course. The perspective is from a slightly elevated angle, capturing the entire line of boats and the surrounding environment.",0.6304045468568802,4.622574999999999,22.28539657592773,True
00hGMXDZ82g_3,3,"abs_ori,abs_spd,non_temp",00hGMXDZ82g,3,https://www.youtube.com/watch?v=00hGMXDZ82g,"['0:01:14.307', '0:02:02.288']","a dynamic scene of a remote-controlled car race taking place in an outdoor setting. The race features multiple participants maneuvering their cars around a dirt track, with the cars moving at varying speeds and directions. The setting includes a large greenhouse structure, a white trailer, and a few scattered trees, providing a contrasting backdrop to the dusty track. the excitement and competitive spirit of the participants as they navigate the challenging terrain. The main subjects are the remote-controlled cars, which are small, colorful, and designed for off-road racing. The cars are equipped with motors and are being controlled by individuals who are not visible in the frames. The cars are positioned on a dirt track, moving in various directions, with some cars overtaking others. The cars are spread out across the track, with some cars in the foreground and others in the background, creating a sense of depth and movement. The background features a large greenhouse structure with a white trailer parked nearby. There are also a few scattered trees and some agricultural equipment, such as a white silo. The setting appears to be an outdoor area, possibly a farm or a rural location. The ground is a mix of dirt and grass, with some patches of greenery. The weather appears to be clear, with good visibility, suggesting it is daytime. The camera appears to be stationary or moving very slowly, providing a wide-angle view of the entire track and the surrounding area. The perspective is from a high vantage point, capturing the entire scene in a single, continuous shot.",0.35826376080513,3.692375,57.540077209472656,True
00txXSjWC2k_18,6,"abs_dir_pred,abs_ori,abs_spd,abs_spd_comp,non_temp,rel_dis",00txXSjWC2k,18,https://www.youtube.com/watch?v=00txXSjWC2k,"['0:03:47.660', '0:04:28.301']","A person is engaged in the process of organizing and folding clothes in a bedroom.The individual is wearing a black long-sleeve shirt with the text ""I'M A BAD BITCH"" printed on the front, paired with patterned leggings. Their hair is dark and appears to be shoulder-length. They are handling various items of clothing, including a pair of jeans, a black jacket, and a grey coat. The person's actions suggest a focus on tidying up the space, possibly preparing for a trip or organizing their wardrobe.The setting is a bedroom with a bed covered in a patterned duvet. The room has a casual, lived-in feel with clothes scattered on the floor and a cluttered appearance. There is a white dresser with a mirror on top, and a white nightstand with a lamp. The room has a neutral color palette with white walls and a wooden floor. The lighting is natural, suggesting daytime.",0.9513172060251236,4.086675,4.581864833831787,True
03RSxi1YmFI_3,6,"abs_ori,non_temp,rel_dir,rel_dir_pred,rel_ori,rel_spd",03RSxi1YmFI,3,https://www.youtube.com/watch?v=03RSxi1YmFI,"['0:02:04.157', '0:02:40.593']","A man is performing a series of pull-ups on a playground bar in a sunny park. He is wearing a black sleeveless shirt and black shorts with white stripes. The man is seen in various stages of the pull-up exercise, starting from a fully extended position to a fully contracted one, and then returning to the starting position. In the background, a young boy is climbing a playground structure, and another child is sitting on a swing. The scene is lively with children playing and adults engaging in physical activities. The main subject is a muscular man performing pull-ups on a yellow playground bar. His movements are fluid and controlled as he transitions from a fully extended position to a fully contracted one, and then back to the starting position. The man is positioned centrally in the frame, with his body facing the camera. The man's movements are deliberate and controlled, involving a repetitive motion of pulling himself up and down the bar. The amplitude of his movement is moderate, with a consistent speed as he performs the pull-ups. The background remains static, with the boy climbing the structure and the child on the swing moving slowly. The camera is stationary, capturing the scene from a fixed position with a wide-angle view, allowing the viewer to see the entire playground and the subjects' movements clearly.",0.9181082397699356,4.628575,5.587015628814697,True
03X2Yyh-tLo_9,6,"abs_dir,abs_dis,abs_ori,non_temp,rel_dir_pred,rel_spd_comp",03X2Yyh-tLo,9,https://www.youtube.com/watch?v=03X2Yyh-tLo,"['0:01:22.359', '0:02:32.159']","a soccer match in progress, focusing on the action on the field. Players are seen actively engaged in the game, with one player attempting to kick the ball while others move around the field, attempting to gain control of the ball.The players are dressed in various colored uniforms, indicating different teams. The players' attire includes jerseys, shorts, socks, and cleats, with some wearing long-sleeved shirts. The jerseys are predominantly red, green, and white, with some players wearing numbers on their backs. The players' body language suggests a competitive and energetic atmosphere, with some players running, kicking, and maneuvering around the field.The setting is an outdoor soccer field with well-maintained grass, marked with white lines for the boundaries and center of the field. The field is surrounded by a fence, and there are spectator stands visible in the background. The sky is overcast, suggesting it might be a cool or cloudy day. The environment appears to be a standard soccer stadium with no distinctive landmarks or features that would indicate a specific location.",0.8960338234901428,4.5785,41.52228164672852,True
042VPN8d-m0_9,4,"abs_dis,abs_ori,non_temp",042VPN8d-m0,9,https://www.youtube.com/watch?v=042VPN8d-m0,"['0:01:08.768', '0:01:33.460']","a journey along a road, starting from a curved section with a metal fence on one side and a grassy area on the other. The road leads to a roundabout where cars are seen driving around. The scene transitions to a parking lot with multiple cars parked in rows, and then to a wider road with a mix of parked and moving vehicles. The sky is partly cloudy, and the environment is urban with greenery and buildings in the background. The main subjects are the vehicles on the road. Initially, a cyclist is seen riding along the road. As the video progresses, cars and a motorcycle are seen driving around the roundabout. The vehicles are in motion, with some moving at a moderate speed and others at a slower pace. The cyclist is positioned on the left side of the road, while the cars and motorcycle are on the right. The background features a mix of urban and natural elements. On the left side, there is a metal fence and a grassy area, while on the right side, there is a parking lot with cars parked in rows. Beyond the parking lot, there are more cars on the road, and in the distance, there are buildings and trees. The sky is partly cloudy, suggesting a fair weather day. The camera appears to be mounted on a vehicle, providing a first-person perspective of the journey. The camera movement is smooth and follows the road, maintaining a steady view of the surroundings.",0.7569203078746796,4.34515,36.78904342651367,True
05ij_J3FtKI_53,1,non_temp,05ij_J3FtKI,53,https://www.youtube.com/watch?v=05ij_J3FtKI,"['0:12:40.059', '0:13:11.223']","a person loading various items into the trunk of a car. The trunk is initially empty, but as the video progresses, a red suitcase, a black hard case, and a backpack are placed inside. The person carefully arranges the items, ensuring they fit neatly. The scene is well-lit, and the interior of the car is visible, showing the seats and the trunk area. The main objects in the video are the items being loaded into the trunk. The red suitcase is placed first, followed by a black hard case and a backpack. The items are positioned in the center of the trunk, with the suitcase on the left side and the hard case and backpack on the right. The person's hand is visible, interacting with the items, adjusting their positions, and ensuring they fit properly. The background consists of the interior of the car, specifically the trunk area. The seats are visible, and the trunk is lined with a dark fabric. The scene is well-lit, suggesting it is daytime. The background is static, with no significant changes or movements. The camera is stationary, providing a top-down view of the trunk. The view is fixed, capturing the entire process of loading the items without any panning or zooming.",0.6508806198835373,4.125325,19.046890258789062,True
062GW_1kiNA_0,5,"abs_dir,abs_dis,non_temp,rel_dis,rel_spd",062GW_1kiNA,0,https://www.youtube.com/watch?v=062GW_1kiNA,"['0:00:00.133', '0:00:20.186']","a serene lakeside scene where three dogs are playing near the water's edge. The dogs, two larger and one smaller, are seen interacting with each other and the water. The sky is partly cloudy, and the overall atmosphere is calm and peaceful. The video transitions to a close-up of a black and white dog's face, which appears to be the focal point of the video. The main subjects are three dogs. The larger dogs are dark-colored and are seen playing in the water and on the shore. The smaller dog is lighter in color and is also interacting with the water. The dogs are positioned near the water's edge, with the larger dogs standing in the shallow water and the smaller dog standing on the shore. The black and white dog's face appears prominently in the latter part of the video. The background features a calm lake with a partly cloudy sky. The shoreline is rocky and grassy, with a forested area visible in the distance. The scene is set in a natural, outdoor environment, likely during the daytime. The camera is stationary, capturing a wide view of the scene. The focus remains on the dogs and the lake, with no noticeable camera movement.",0.9937728196382524,4.47105,24.36504554748535,True
063mB8pem-I_31,6,"abs_dir_pred,abs_dis,abs_ori,non_temp,rel_dir",063mB8pem-I,31,https://www.youtube.com/watch?v=063mB8pem-I,"['0:11:57.616', '0:13:02.114']","a person assembling a device outdoors, involving the placement and adjustment of several cylindrical objects connected by wires.The individual in the video is not fully visible, but their hands are shown performing the task. They appear to be wearing a dark-colored wristwatch on their left wrist and a black band on their right wrist. The hands are engaged in the assembly process, manipulating the objects and wires with precision.The setting is an outdoor area with a wooden platform or bench, which serves as the base for the assembly. The background is a natural, green environment with trees and a clear sky, suggesting a daytime setting in a park or a similar recreational area. There is a glimpse of a red vehicle in the distance, indicating the proximity of a road or parking area.",0.9509379863739014,4.42955,3.0463016033172607,True
066MfDN1Hr4_2,6,"abs_dir,abs_dis,abs_ori,abs_spd_comp,non_temp,rel_dir_pred",066MfDN1Hr4,2,https://www.youtube.com/watch?v=066MfDN1Hr4,"['0:01:50.743', '0:03:41.120']","a person preparing a dish in a kitchen. The person is seen cracking eggs into a glass bowl, mixing them with a whisk, and then adding lime juice and chopped green onions. The scene is set on a granite countertop with various kitchen utensils and ingredients around. The person's hands are the main focus, showing the detailed process of mixing the ingredients. The main subjects are the person's hands and the ingredients they are handling. The person's hands are actively engaged in cracking eggs, whisking, and mixing the ingredients. The glass bowl is positioned centrally on the countertop, and the person uses a whisk to mix the egg mixture. The lime and green onions are added to the bowl, and the person's hands are seen manipulating these ingredients. The background consists of a granite countertop with various kitchen items. There is a glass bowl with a lime, a cutting board with a lime, a bowl of chopped green onions, a glass jar with a lid, and a metal spatula. The scene is set in a kitchen environment, with a focus on the countertop area. The camera is stationary, providing a close-up view of the countertop and the person's hands. The view is slightly angled to capture the actions clearly, with no noticeable camera movement.",0.9857389628887177,4.8192,4.893263816833496,True
07-SDp__Xfw_7,6,"abs_dir,abs_dis,abs_spd_comp,non_temp,rel_dir_pred,rel_dis",07-SDp__Xfw,7,https://www.youtube.com/watch?v=07-SDp__Xfw,"['0:05:15.115', '0:06:42.202']","a person working on a car's battery compartment, focusing on the process of removing and replacing the battery. The individual is seen using various tools, including a screwdriver and a wrench, to manipulate the battery and its components. shot in a dimly lit environment, with a strong light source illuminating the work area, highlighting the details of the car's interior and the tools being used. The main subjects are the car battery and the tools used to work on it. The car battery is positioned in the center of the frame, with various components like wires and connectors visible. The person's hands are prominently featured, manipulating the tools and the battery. The tools include a screwdriver and a wrench, which are used to remove and adjust the battery. The person's hands are seen moving the tools with precision, indicating a step-by-step process of battery maintenance. The camera is stationary, providing a close-up view of the car's battery compartment and the person's hands. The view is slightly angled, capturing the details of the work area and the tools being used.",0.8304921835660934,3.60465,10.606914520263672,True
07c4JJtRTW0_56,6,"abs_dir_pred,abs_dis,non_temp,rel_dir,rel_dis",07c4JJtRTW0,56,https://www.youtube.com/watch?v=07c4JJtRTW0,"['0:10:27.861', '0:12:28.415']","a person unpacking a black backpack on a white table. The backpack contains various items including a red and orange cloth, a canned drink, a smartphone, a pair of headphones, and a small black case. The person carefully removes the items from the backpack, placing them on the table in an organized manner. The background features a red and black checkered backdrop with large speakers, adding a vibrant and energetic atmosphere to the scene. The main objects in the video are a black backpack and its contents. The backpack is positioned centrally on a white table, and the person's hands are seen unpacking it. The contents include a red and orange cloth, a canned drink, a smartphone, a pair of headphones, and a small black case. The person's hands are actively engaged in removing and placing these items on the table. The camera is stationary, providing a clear and stable view of the unpacking process from a slightly elevated angle, capturing the entire scene in a medium shot.",0.96904855966568,4.846475,7.698973655700684,True
08FaKWokdno_14,6,"abs_dis,abs_ori,non_temp,rel_dir_pred,rel_dis,rel_ori",08FaKWokdno,14,https://www.youtube.com/watch?v=08FaKWokdno,"['0:01:25.452', '0:01:57.217']","a high-speed race on a professional racing track, featuring multiple cars competing closely together. The cars are in a tight formation, navigating the curves and straightaways of the track. The scene is filled with intense action and the thrill of high-speed racing, with the cars' colors and sponsor logos prominently displayed. The background consists of a professional racing track with a mix of curved and straight sections. The track is surrounded by grassy areas and a few buildings, including a large grandstand with spectators. The weather appears to be clear and sunny, with bright lighting highlighting the track and the cars. The main subjects are the racing cars, which are brightly colored and have distinct sponsor logos. The cars are positioned closely together, with some overtaking others as they navigate the track. The cars are in various positions relative to each other, with some cars in the foreground and others in the background. The cars are moving at high speeds, with some making sharp turns and others maintaining a straight path. The camera is likely mounted on a drone or a high vantage point, providing an aerial view of the track. The camera movement is smooth and follows the cars, maintaining a steady view of the action. The camera angle is wide, capturing the entire track and the surrounding area.",0.8622230589389801,4.298775,41.48211669921875,True
08I-HGc4SnE_0,6,"abs_dis,abs_ori,non_temp,rel_dir_pred,rel_ori",08I-HGc4SnE,0,https://www.youtube.com/watch?v=08I-HGc4SnE,"['0:00:00.166', '0:00:20.186']","a series of animated characters, each representing a number, moving and interacting with each other.The characters are stylized, with simplistic designs and bright colors. The character representing the number '1' is a small, red cube with a white number on its side. The character representing the number '2' is a green, rectangular block with a white number on its side. The character representing the number '3' is a yellow, rectangular block with a white number on its side. The character representing the number '4' is a tall, green, rectangular block with a white number on its side. The character representing the number '5' is a blue, rectangular block with a white number on its side. The character representing the number '6' is a red, rectangular block with a white number on its side. The character representing the number '7' is an orange, rectangular block with a white number on its side. The character representing the number '8' is a blue, rectangular block with a white number on its side. The character representing the number '9' is a purple, rectangular block with a white number on its side.The setting is a simple, flat, two-dimensional background with a light green color, giving the impression of a grassy field. The sky is depicted with soft, pastel-colored clouds, suggesting a calm, clear day. The characters are the only objects in the scene, and there are no other discernible features or landmarks.",0.8391973823308945,4.6236250000000005,7.535396575927734,True
08VDq7JoNyA_4,6,"abs_dir,abs_dir_pred,abs_ori,abs_spd,non_temp",08VDq7JoNyA,4,https://www.youtube.com/watch?v=08VDq7JoNyA,"['0:01:31.200', '0:02:34.366']","a serene underwater scene in a pond or small lake, featuring a variety of fish swimming gracefully among aquatic plants and debris. The water is clear, allowing a detailed view of the fish and their surroundings. The fish, including a prominent pink fish and a few smaller ones, move leisurely, creating gentle ripples in the water. The scene is tranquil and showcases the natural beauty of the aquatic environment. The main subjects are the fish, particularly a pink fish that is larger and more prominent, and several smaller fish. The pink fish swims near the bottom of the frame, occasionally moving upwards. The smaller fish are scattered around, some closer to the surface and others near the bottom. The fish are interacting with their environment, swimming around the plants and debris. The background consists of a pond or small lake with clear, calm water. The water is slightly murky, with visible aquatic plants and debris, including twigs and leaves. The bottom of the pond is covered with aquatic plants and some rocks are visible in the background. The scene is set outdoors, likely in a natural or semi-natural environment. The camera is stationary, providing a stable and clear view of the underwater scene. The view is a close-up, focusing on the fish and their immediate surroundings.",0.7801778167486191,4.030325,28.32149124145508,True
08tvoJdIB6Y_9,6,"abs_dir_pred,abs_dis,abs_spd,non_temp,rel_spd,rel_spd_comp",08tvoJdIB6Y,9,https://www.youtube.com/watch?v=08tvoJdIB6Y,"['0:01:01.828', '0:01:26.486']","a dynamic soccer match in progress, with players actively engaged in the game.The players are dressed in various team uniforms, with some wearing red and others in blue. The uniforms are standard for a soccer match, with shorts, socks, and cleats. The players are in motion, indicating a fast-paced game. Their body language suggests a competitive atmosphere, with some players running towards the ball, while others are in defensive positions.The setting is a well-maintained soccer field with vibrant green grass. The field is marked with white lines, and there are goalposts at both ends. The stadium is filled with spectators, although their faces are not visible, suggesting a focus on the gameplay rather than the audience. The lighting suggests it is daytime, and the weather appears clear, contributing to the visibility of the players and the field.",0.9784442186355592,4.4717,16.91064453125,True
098bSVGwBwc_3,6,"abs_dir_pred,abs_spd,non_temp,rel_dir,rel_dis,rel_spd_comp",098bSVGwBwc,3,https://www.youtube.com/watch?v=098bSVGwBwc,"['0:00:19.119', '0:01:05.765']","a person assembling a small, white, wheeled tool or device on a concrete surface. The person's hands are seen handling various components, including a black power tool, a white plastic wheel, and a black and white plastic part. The person carefully places the wheel onto the device, ensuring it is securely attached. The scene is well-lit, and the background includes a cardboard box and some scattered tools. The main objects in the video are a black power tool, a white plastic wheel, and a black and white plastic part. The power tool is positioned on the left side of the frame, while the wheel and plastic part are on the right. The person's hands are actively involved in handling these objects, placing the wheel onto the device. The wheel is white and appears to be made of plastic, while the plastic part is black and white. The background consists of a concrete surface with some scattered tools and a cardboard box. The scene is outdoors, with natural light illuminating the area. The background is slightly blurred, keeping the focus on the assembly process. The camera is stationary, providing a top-down view of the assembly process. The angle is slightly elevated, capturing the entire assembly area clearly.",0.987642616033554,4.175000000000001,6.935916423797607,True
09DWtYo-Co8_4,6,"non_temp,rel_dir,rel_dir_pred,rel_dis",09DWtYo-Co8,4,https://www.youtube.com/watch?v=09DWtYo-Co8,"['0:02:09.462', '0:03:00.513']","A person is engaged in a cooking activity, preparing ingredients and handling kitchen utensils.The individual is wearing a maroon apron over a patterned shirt, and their attire suggests they are in a domestic kitchen environment. They are handling various kitchen items, including a bowl, a spoon, and a knife. The person's actions suggest they are in the process of cooking or baking, as they are seen mixing ingredients and handling kitchen tools.The setting is a modern kitchen with stainless steel appliances, including a microwave and an oven. The countertop is cluttered with cooking ingredients and utensils, indicating an active cooking session. The environment is well-lit, suggesting it is daytime, and the kitchen appears to be well-equipped for cooking tasks.",0.7333651632070541,4.4342500000000005,15.974125862121582,True
09KafH6Pm9I_19,6,"abs_ori,non_temp,rel_dir,rel_dir_pred,rel_dis,rel_ori",09KafH6Pm9I,19,https://www.youtube.com/watch?v=09KafH6Pm9I,"['0:04:26.439', '0:04:49.639']","A group of jockeys, clad in colorful silks, are riding thoroughbred horses across a grassy track. The horses are galloping at a steady pace, with their jockeys leaning forward, urging them on. The jockeys are wearing helmets and protective gear, and their postures suggest a competitive race. The horses are well-groomed, with their coats gleaming in the sunlight. The scene is set in a racecourse with white fences and a road running parallel to the track. The jockeys are focused and determined, with their bodies leaning forward to maintain balance and speed. The horses are in a tight formation, showcasing their strength and agility. The background includes a grassy track, white fences, and a road with a few cars and people visible. The weather appears to be clear and sunny, with no signs of rain or adverse conditions. The setting is a typical racecourse, with well-maintained grass and white fencing. The jockeys are riding in a tight formation, maintaining a steady gallop. The horses' movements are synchronized, with their legs pounding the ground in a rhythmic pattern. The jockeys' bodies are leaning forward, and their arms are outstretched, urging the horses on. The background remains relatively static, with the primary movement being the horses and jockeys. The camera is stationary, capturing the action from a side view, providing a clear view of the jockeys and horses as they gallop across the track.",0.9718599319458008,4.792725,13.785066604614258,True
09KafH6Pm9I_26,6,"abs_dir,abs_spd_comp,non_temp,rel_dir_pred,rel_ori,rel_spd",09KafH6Pm9I,26,https://www.youtube.com/watch?v=09KafH6Pm9I,"['0:06:22.639', '0:06:48.639']","A group of jockeys, clad in colorful silks, are seen riding thoroughbred horses along a grassy track. The horses gallop energetically, with their jockeys leaning forward, urging them on. The scene captures the intensity and excitement of a horse race, with the jockeys and horses moving swiftly and competitively. The background features a grassy track bordered by white fencing, with a road and some trees visible in the distance. The weather appears to be clear and sunny, suggesting a daytime race. The setting is likely a horse racing track, with well-maintained grass and clear boundaries. The main subjects are the jockeys and their horses. The jockeys are wearing various colored silks, which are the protective coverings for the horses. The horses are dark brown and black, with some wearing bridles and others not. The jockeys are positioned in a line, leaning forward to urge their horses on. The horses are galloping at a fast pace, with their heads held high and tails flowing. The camera is stationary, capturing a wide-angle view of the entire scene, allowing for a clear view of the jockeys and horses as they race by.",0.972403571009636,4.948825,21.23477935791016,True
09okdHP-Weo_2,6,"abs_ori,abs_spd_comp,non_temp,rel_dir_pred,rel_ori,rel_spd",09okdHP-Weo,2,https://www.youtube.com/watch?v=09okdHP-Weo,"['0:00:53.753', '0:02:09.028']","a close-up view of a toy train set being assembled and manipulated by a person's hands. The train set consists of various colorful components, including orange, yellow, and blue parts, which are being connected and adjusted. The hands move the train parts around, demonstrating the assembly process in a detailed and engaging manner. The background is a plain, light-colored wall, providing a clean and uncluttered backdrop that keeps the focus on the toy train set. There are no additional objects or elements in the background, ensuring that the viewer's attention remains on the assembly process. The main objects in the video are the toy train set components and the hands of the person assembling them. The train set includes orange, yellow, and blue parts, including a yellow train car with a blue roof, a blue train car with a yellow roof, and other smaller components. The hands are actively engaged in handling and connecting these parts, demonstrating the assembly process. The hands are positioned centrally in the frame, with the train set components being manipulated and adjusted. The camera is stationary, providing a close-up view of the toy train set and the hands assembling it. The view is steady and focused, ensuring that the assembly process is clearly visible and detailed.",0.7318305224180222,3.938675,14.84708309173584,True
